"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1024,123456,1,parallel,1,0.144855
seq,uniform-random,1024,123456,1,parallel,2,0.140804
seq,uniform-random,1024,123456,1,drake,1,0.194653
seq,uniform-random,1024,123456,1,drake,2,0.205478
seq,uniform-random,1024,123456,2,parallel,1,0.138568
seq,uniform-random,1024,123456,2,parallel,2,0.143178
seq,uniform-random,1024,123456,2,drake,1,0.211555
seq,uniform-random,1024,123456,2,drake,2,0.182290
seq,uniform-random,4096,123456,1,parallel,1,0.565520
seq,uniform-random,4096,123456,1,parallel,2,0.566916
seq,uniform-random,4096,123456,1,drake,1,0.664697
seq,uniform-random,4096,123456,1,drake,2,0.695148
seq,uniform-random,4096,123456,2,parallel,1,0.571386
seq,uniform-random,4096,123456,2,parallel,2,0.811716
seq,uniform-random,4096,123456,2,drake,1,0.788808
seq,uniform-random,4096,123456,2,drake,2,0.664207
seq,uniform-random,16384,123456,1,parallel,1,2.540193
seq,uniform-random,16384,123456,1,parallel,2,4.184997
seq,uniform-random,16384,123456,1,drake,1,3.293729
seq,uniform-random,16384,123456,1,drake,2,2.880887
seq,uniform-random,16384,123456,2,parallel,1,2.495143
seq,uniform-random,16384,123456,2,parallel,2,2.541171
seq,uniform-random,16384,123456,2,drake,1,2.880817
seq,uniform-random,16384,123456,2,drake,2,2.881236
seq,increasing,1024,123456,1,parallel,1,0.060414
seq,increasing,1024,123456,1,parallel,2,0.061043
seq,increasing,1024,123456,1,drake,1,0.116499
seq,increasing,1024,123456,1,drake,2,0.102809
seq,increasing,4096,123456,1,parallel,1,0.224057
seq,increasing,4096,123456,1,parallel,2,0.246965
seq,increasing,4096,123456,1,drake,1,0.331475
seq,increasing,4096,123456,1,drake,2,0.328123
seq,increasing,16384,123456,1,parallel,1,0.926329
seq,increasing,16384,123456,1,parallel,2,0.910474
seq,increasing,16384,123456,1,drake,1,1.291329
seq,increasing,16384,123456,1,drake,2,1.263671
seq,decreasing,1024,123456,1,parallel,1,0.061741
seq,decreasing,1024,123456,1,parallel,2,0.065792
seq,decreasing,1024,123456,1,drake,1,0.102809
seq,decreasing,1024,123456,1,drake,2,0.106511
seq,decreasing,4096,123456,1,parallel,1,0.225244
seq,decreasing,4096,123456,1,parallel,2,0.233346
seq,decreasing,4096,123456,1,drake,1,0.333361
seq,decreasing,4096,123456,1,drake,2,0.326935
seq,decreasing,16384,123456,1,parallel,1,0.925211
seq,decreasing,16384,123456,1,parallel,2,0.916830
seq,decreasing,16384,123456,1,drake,1,1.300059
seq,decreasing,16384,123456,1,drake,2,1.266744
seq,constant,1024,123456,1,parallel,1,0.007194
seq,constant,1024,123456,1,parallel,2,0.007055
seq,constant,1024,123456,1,drake,1,0.047283
seq,constant,1024,123456,1,drake,2,0.058948
seq,constant,4096,123456,1,parallel,1,0.014108
seq,constant,4096,123456,1,parallel,2,0.013898
seq,constant,4096,123456,1,drake,1,0.097292
seq,constant,4096,123456,1,drake,2,0.051684
seq,constant,16384,123456,1,parallel,1,0.044211
seq,constant,16384,123456,1,parallel,2,0.044211
seq,constant,16384,123456,1,drake,1,0.124461
seq,constant,16384,123456,1,drake,2,0.151629
2,uniform-random,1024,123456,1,parallel,1,13.998088
2,uniform-random,1024,123456,1,parallel,2,0.132282
2,uniform-random,1024,123456,1,drake,1,13.928175
2,uniform-random,1024,123456,1,drake,2,0.121946
2,uniform-random,1024,123456,2,parallel,1,0.159731
2,uniform-random,1024,123456,2,parallel,2,0.168042
2,uniform-random,1024,123456,2,drake,1,0.137242
2,uniform-random,1024,123456,2,drake,2,0.122156
2,uniform-random,4096,123456,1,parallel,1,0.304166
2,uniform-random,4096,123456,1,parallel,2,0.308288
2,uniform-random,4096,123456,1,drake,1,0.397477
2,uniform-random,4096,123456,1,drake,2,0.399293
2,uniform-random,4096,123456,2,parallel,1,0.307519
2,uniform-random,4096,123456,2,parallel,2,0.298998
2,uniform-random,4096,123456,2,drake,1,0.389655
2,uniform-random,4096,123456,2,drake,2,0.396359
2,uniform-random,16384,123456,1,parallel,1,1.079565
2,uniform-random,16384,123456,1,parallel,2,1.076491
2,uniform-random,16384,123456,1,drake,1,1.598010
2,uniform-random,16384,123456,1,drake,2,1.598359
2,uniform-random,16384,123456,2,parallel,1,1.061615
2,uniform-random,16384,123456,2,parallel,2,1.051139
2,uniform-random,16384,123456,2,drake,1,1.569234
2,uniform-random,16384,123456,2,drake,2,1.582085
2,increasing,1024,123456,1,parallel,1,0.141432
2,increasing,1024,123456,1,parallel,2,0.143737
2,increasing,1024,123456,1,drake,1,0.106232
2,increasing,1024,123456,1,drake,2,0.084371
2,increasing,4096,123456,1,parallel,1,0.209320
2,increasing,4096,123456,1,parallel,2,0.205339
2,increasing,4096,123456,1,drake,1,0.207155
2,increasing,4096,123456,1,drake,2,0.202964
2,increasing,16384,123456,1,parallel,1,0.585564
2,increasing,16384,123456,1,parallel,2,0.539537
2,increasing,16384,123456,1,drake,1,0.793557
2,increasing,16384,123456,1,drake,2,0.746413
2,decreasing,1024,123456,1,parallel,1,0.217491
2,decreasing,1024,123456,1,parallel,2,0.201846
2,decreasing,1024,123456,1,drake,1,0.086745
2,decreasing,1024,123456,1,drake,2,0.096174
2,decreasing,4096,123456,1,parallel,1,0.921928
2,decreasing,4096,123456,1,parallel,2,0.990445
2,decreasing,4096,123456,1,drake,1,0.216933
2,decreasing,4096,123456,1,drake,2,0.214489
2,decreasing,16384,123456,1,parallel,1,21.207080
2,decreasing,16384,123456,1,parallel,2,11.856420
2,decreasing,16384,123456,1,drake,1,0.831062
2,decreasing,16384,123456,1,drake,2,0.766597
2,constant,1024,123456,1,parallel,1,0.122575
2,constant,1024,123456,1,parallel,2,0.164411
2,constant,1024,123456,1,drake,1,0.060205
2,constant,1024,123456,1,drake,2,0.068796
2,constant,4096,123456,1,parallel,1,0.207364
2,constant,4096,123456,1,parallel,2,0.197866
2,constant,4096,123456,1,drake,1,0.081717
2,constant,4096,123456,1,drake,2,0.157007
2,constant,16384,123456,1,parallel,1,0.591920
2,constant,16384,123456,1,parallel,2,0.580116
2,constant,16384,123456,1,drake,1,0.136822
2,constant,16384,123456,1,drake,2,0.135426
3,uniform-random,1024,123456,1,parallel,1,0.190951
3,uniform-random,1024,123456,1,parallel,2,0.162386
3,uniform-random,1024,123456,1,drake,1,18.451562
3,uniform-random,1024,123456,1,drake,2,0.143039
3,uniform-random,1024,123456,2,parallel,1,0.154074
3,uniform-random,1024,123456,2,parallel,2,0.165738
3,uniform-random,1024,123456,2,drake,1,0.153306
3,uniform-random,1024,123456,2,drake,2,0.130536
3,uniform-random,4096,123456,1,parallel,1,0.336364
3,uniform-random,4096,123456,1,parallel,2,0.319602
3,uniform-random,4096,123456,1,drake,1,0.366047
3,uniform-random,4096,123456,1,drake,2,0.355152
3,uniform-random,4096,123456,2,parallel,1,0.330148
3,uniform-random,4096,123456,2,parallel,2,0.352987
3,uniform-random,4096,123456,2,drake,1,0.346771
3,uniform-random,4096,123456,2,drake,2,0.337202
3,uniform-random,16384,123456,1,parallel,1,1.146753
3,uniform-random,16384,123456,1,parallel,2,1.115463
3,uniform-random,16384,123456,1,drake,1,1.249004
3,uniform-random,16384,123456,1,drake,2,1.220857
3,uniform-random,16384,123456,2,parallel,1,1.094721
3,uniform-random,16384,123456,2,parallel,2,1.309278
3,uniform-random,16384,123456,2,drake,1,1.270236
3,uniform-random,16384,123456,2,drake,2,1.254312
3,increasing,1024,123456,1,parallel,1,0.149604
3,increasing,1024,123456,1,parallel,2,0.170418
3,increasing,1024,123456,1,drake,2,0.095546
3,increasing,4096,123456,1,parallel,1,0.199611
3,increasing,4096,123456,1,parallel,2,0.195490
3,increasing,4096,123456,1,drake,1,0.210507
3,increasing,4096,123456,1,drake,2,0.187319
3,increasing,16384,123456,1,parallel,1,0.526896
3,increasing,16384,123456,1,parallel,2,0.524871
3,increasing,16384,123456,1,drake,1,24.304621
3,increasing,16384,123456,1,drake,2,0.951961
3,decreasing,1024,123456,1,parallel,1,0.503918
3,decreasing,1024,123456,1,parallel,2,0.206456
3,decreasing,1024,123456,1,drake,2,0.095196
3,decreasing,4096,123456,1,parallel,1,1.269118
3,decreasing,4096,123456,1,parallel,2,1.002528
3,decreasing,4096,123456,1,drake,1,17.422774
3,decreasing,4096,123456,1,drake,2,0.187529
3,decreasing,16384,123456,1,parallel,1,12.236716
3,decreasing,16384,123456,1,parallel,2,11.933108
3,decreasing,16384,123456,1,drake,1,0.634315
3,decreasing,16384,123456,1,drake,2,0.594504
3,constant,1024,123456,1,parallel,1,0.154004
3,constant,1024,123456,1,parallel,2,0.141293
3,constant,1024,123456,1,drake,1,0.071868
3,constant,1024,123456,1,drake,2,0.076548
3,constant,4096,123456,1,parallel,1,0.246406
3,constant,4096,123456,1,parallel,2,0.248851
3,constant,4096,123456,1,drake,1,0.178658
3,constant,4096,123456,1,drake,2,30.166480
3,constant,16384,123456,1,parallel,1,0.606098
3,constant,16384,123456,1,parallel,2,0.842307
3,constant,16384,123456,1,drake,1,0.163782
3,constant,16384,123456,1,drake,2,26.365899
4,uniform-random,1024,123456,1,parallel,1,0.453770
4,uniform-random,1024,123456,1,parallel,2,0.172163
4,uniform-random,1024,123456,1,drake,1,0.123133
4,uniform-random,1024,123456,1,drake,2,0.121876
4,uniform-random,1024,123456,2,parallel,1,0.156449
4,uniform-random,1024,123456,2,parallel,2,0.503988
4,uniform-random,1024,123456,2,drake,1,0.118872
4,uniform-random,1024,123456,2,drake,2,0.114473
4,uniform-random,4096,123456,1,parallel,1,0.536883
4,uniform-random,4096,123456,1,parallel,2,0.645070
4,uniform-random,4096,123456,1,drake,1,11.030386
4,uniform-random,4096,123456,1,drake,2,7.094310
4,uniform-random,4096,123456,2,parallel,1,0.341602
4,uniform-random,4096,123456,2,parallel,2,0.345723
4,uniform-random,4096,123456,2,drake,1,0.295576
4,uniform-random,4096,123456,2,drake,2,0.316250
4,uniform-random,16384,123456,1,parallel,1,0.912570
4,uniform-random,16384,123456,1,parallel,2,1.113648
4,uniform-random,16384,123456,1,drake,1,0.926957
4,uniform-random,16384,123456,1,drake,2,0.935758
4,uniform-random,16384,123456,2,parallel,1,1.151782
4,uniform-random,16384,123456,2,parallel,2,1.299081
4,uniform-random,16384,123456,2,drake,1,1.471454
4,uniform-random,16384,123456,2,drake,2,0.974660
4,increasing,1024,123456,1,parallel,1,0.121597
4,increasing,1024,123456,1,parallel,2,0.474654
4,increasing,1024,123456,1,drake,1,0.100574
4,increasing,1024,123456,1,drake,2,0.103508
4,increasing,4096,123456,1,parallel,1,0.220425
4,increasing,4096,123456,1,parallel,2,0.214069
4,increasing,4096,123456,1,drake,1,0.166226
4,increasing,4096,123456,1,drake,2,0.167344
4,increasing,16384,123456,1,parallel,1,0.620765
4,increasing,16384,123456,1,parallel,2,0.762198
4,increasing,16384,123456,1,drake,1,0.457612
4,increasing,16384,123456,1,drake,2,0.484082
4,decreasing,1024,123456,1,parallel,1,0.253740
4,decreasing,1024,123456,1,parallel,2,0.279372
4,decreasing,1024,123456,1,drake,1,0.097082
4,decreasing,1024,123456,1,drake,2,0.098898
4,decreasing,4096,123456,1,parallel,1,1.061754
4,decreasing,4096,123456,1,parallel,2,0.968793
4,decreasing,4096,123456,1,drake,1,0.163294
4,decreasing,4096,123456,1,drake,2,0.164341
4,decreasing,16384,123456,1,parallel,1,12.020342
4,decreasing,16384,123456,1,parallel,2,12.008887
4,decreasing,16384,123456,1,drake,1,0.438335
4,decreasing,16384,123456,1,drake,2,0.454818
4,constant,1024,123456,1,parallel,1,0.154423
4,constant,1024,123456,1,parallel,2,0.145064
4,constant,1024,123456,1,drake,1,0.082275
4,constant,1024,123456,1,drake,2,0.078433
4,constant,4096,123456,1,parallel,1,0.254648
4,constant,4096,123456,1,parallel,2,0.248781
4,constant,4096,123456,1,drake,1,0.087793
4,constant,4096,123456,1,drake,2,0.095895
4,constant,16384,123456,1,parallel,1,0.619438
4,constant,16384,123456,1,parallel,2,0.629356
4,constant,16384,123456,1,drake,1,0.143876
4,constant,16384,123456,1,drake,2,0.149045
seq,uniform-random,1024,123456,1,parallel,1,0.144855
seq,uniform-random,1024,123456,1,parallel,2,0.140804
seq,uniform-random,1024,123456,1,drake,1,0.194653
seq,uniform-random,1024,123456,1,drake,2,0.205478
seq,uniform-random,1024,123456,2,parallel,1,0.138568
seq,uniform-random,1024,123456,2,parallel,2,0.143178
seq,uniform-random,1024,123456,2,drake,1,0.211555
seq,uniform-random,1024,123456,2,drake,2,0.182290
seq,uniform-random,4096,123456,1,parallel,1,0.565520
seq,uniform-random,4096,123456,1,parallel,2,0.566916
seq,uniform-random,4096,123456,1,drake,1,0.664697
seq,uniform-random,4096,123456,1,drake,2,0.695148
seq,uniform-random,4096,123456,2,parallel,1,0.571386
seq,uniform-random,4096,123456,2,parallel,2,0.811716
seq,uniform-random,4096,123456,2,drake,1,0.788808
seq,uniform-random,4096,123456,2,drake,2,0.664207
seq,uniform-random,16384,123456,1,parallel,1,2.540193
seq,uniform-random,16384,123456,1,parallel,2,4.184997
seq,uniform-random,16384,123456,1,drake,1,3.293729
seq,uniform-random,16384,123456,1,drake,2,2.880887
seq,uniform-random,16384,123456,2,parallel,1,2.495143
seq,uniform-random,16384,123456,2,parallel,2,2.541171
seq,uniform-random,16384,123456,2,drake,1,2.880817
seq,uniform-random,16384,123456,2,drake,2,2.881236
seq,increasing,1024,123456,1,parallel,1,0.060414
seq,increasing,1024,123456,1,parallel,2,0.061043
seq,increasing,1024,123456,1,drake,1,0.116499
seq,increasing,1024,123456,1,drake,2,0.102809
seq,increasing,4096,123456,1,parallel,1,0.224057
seq,increasing,4096,123456,1,parallel,2,0.246965
seq,increasing,4096,123456,1,drake,1,0.331475
seq,increasing,4096,123456,1,drake,2,0.328123
seq,increasing,16384,123456,1,parallel,1,0.926329
seq,increasing,16384,123456,1,parallel,2,0.910474
seq,increasing,16384,123456,1,drake,1,1.291329
seq,increasing,16384,123456,1,drake,2,1.263671
seq,decreasing,1024,123456,1,parallel,1,0.061741
seq,decreasing,1024,123456,1,parallel,2,0.065792
seq,decreasing,1024,123456,1,drake,1,0.102809
seq,decreasing,1024,123456,1,drake,2,0.106511
seq,decreasing,4096,123456,1,parallel,1,0.225244
seq,decreasing,4096,123456,1,parallel,2,0.233346
seq,decreasing,4096,123456,1,drake,1,0.333361
seq,decreasing,4096,123456,1,drake,2,0.326935
seq,decreasing,16384,123456,1,parallel,1,0.925211
seq,decreasing,16384,123456,1,parallel,2,0.916830
seq,decreasing,16384,123456,1,drake,1,1.300059
seq,decreasing,16384,123456,1,drake,2,1.266744
seq,constant,1024,123456,1,parallel,1,0.007194
seq,constant,1024,123456,1,parallel,2,0.007055
seq,constant,1024,123456,1,drake,1,0.047283
seq,constant,1024,123456,1,drake,2,0.058948
seq,constant,4096,123456,1,parallel,1,0.014108
seq,constant,4096,123456,1,parallel,2,0.013898
seq,constant,4096,123456,1,drake,1,0.097292
seq,constant,4096,123456,1,drake,2,0.051684
seq,constant,16384,123456,1,parallel,1,0.044211
seq,constant,16384,123456,1,parallel,2,0.044211
seq,constant,16384,123456,1,drake,1,0.124461
seq,constant,16384,123456,1,drake,2,0.151629
2,uniform-random,1024,123456,1,parallel,1,13.998088
2,uniform-random,1024,123456,1,parallel,2,0.132282
2,uniform-random,1024,123456,1,drake,1,13.928175
2,uniform-random,1024,123456,1,drake,2,0.121946
2,uniform-random,1024,123456,2,parallel,1,0.159731
2,uniform-random,1024,123456,2,parallel,2,0.168042
2,uniform-random,1024,123456,2,drake,1,0.137242
2,uniform-random,1024,123456,2,drake,2,0.122156
2,uniform-random,4096,123456,1,parallel,1,0.304166
2,uniform-random,4096,123456,1,parallel,2,0.308288
2,uniform-random,4096,123456,1,drake,1,0.397477
2,uniform-random,4096,123456,1,drake,2,0.399293
2,uniform-random,4096,123456,2,parallel,1,0.307519
2,uniform-random,4096,123456,2,parallel,2,0.298998
2,uniform-random,4096,123456,2,drake,1,0.389655
2,uniform-random,4096,123456,2,drake,2,0.396359
2,uniform-random,16384,123456,1,parallel,1,1.079565
2,uniform-random,16384,123456,1,parallel,2,1.076491
2,uniform-random,16384,123456,1,drake,1,1.598010
2,uniform-random,16384,123456,1,drake,2,1.598359
2,uniform-random,16384,123456,2,parallel,1,1.061615
2,uniform-random,16384,123456,2,parallel,2,1.051139
2,uniform-random,16384,123456,2,drake,1,1.569234
2,uniform-random,16384,123456,2,drake,2,1.582085
2,increasing,1024,123456,1,parallel,1,0.141432
2,increasing,1024,123456,1,parallel,2,0.143737
2,increasing,1024,123456,1,drake,1,0.106232
2,increasing,1024,123456,1,drake,2,0.084371
2,increasing,4096,123456,1,parallel,1,0.209320
2,increasing,4096,123456,1,parallel,2,0.205339
2,increasing,4096,123456,1,drake,1,0.207155
2,increasing,4096,123456,1,drake,2,0.202964
2,increasing,16384,123456,1,parallel,1,0.585564
2,increasing,16384,123456,1,parallel,2,0.539537
2,increasing,16384,123456,1,drake,1,0.793557
2,increasing,16384,123456,1,drake,2,0.746413
2,decreasing,1024,123456,1,parallel,1,0.217491
2,decreasing,1024,123456,1,parallel,2,0.201846
2,decreasing,1024,123456,1,drake,1,0.086745
2,decreasing,1024,123456,1,drake,2,0.096174
2,decreasing,4096,123456,1,parallel,1,0.921928
2,decreasing,4096,123456,1,parallel,2,0.990445
2,decreasing,4096,123456,1,drake,1,0.216933
2,decreasing,4096,123456,1,drake,2,0.214489
2,decreasing,16384,123456,1,parallel,1,21.207080
2,decreasing,16384,123456,1,parallel,2,11.856420
2,decreasing,16384,123456,1,drake,1,0.831062
2,decreasing,16384,123456,1,drake,2,0.766597
2,constant,1024,123456,1,parallel,1,0.122575
2,constant,1024,123456,1,parallel,2,0.164411
2,constant,1024,123456,1,drake,1,0.060205
2,constant,1024,123456,1,drake,2,0.068796
2,constant,4096,123456,1,parallel,1,0.207364
2,constant,4096,123456,1,parallel,2,0.197866
2,constant,4096,123456,1,drake,1,0.081717
2,constant,4096,123456,1,drake,2,0.157007
2,constant,16384,123456,1,parallel,1,0.591920
2,constant,16384,123456,1,parallel,2,0.580116
2,constant,16384,123456,1,drake,1,0.136822
2,constant,16384,123456,1,drake,2,0.135426
3,uniform-random,1024,123456,1,parallel,1,0.190951
3,uniform-random,1024,123456,1,parallel,2,0.162386
3,uniform-random,1024,123456,1,drake,1,18.451562
3,uniform-random,1024,123456,1,drake,2,0.143039
3,uniform-random,1024,123456,2,parallel,1,0.154074
3,uniform-random,1024,123456,2,parallel,2,0.165738
3,uniform-random,1024,123456,2,drake,1,0.153306
3,uniform-random,1024,123456,2,drake,2,0.130536
3,uniform-random,4096,123456,1,parallel,1,0.336364
3,uniform-random,4096,123456,1,parallel,2,0.319602
3,uniform-random,4096,123456,1,drake,1,0.366047
3,uniform-random,4096,123456,1,drake,2,0.355152
3,uniform-random,4096,123456,2,parallel,1,0.330148
3,uniform-random,4096,123456,2,parallel,2,0.352987
3,uniform-random,4096,123456,2,drake,1,0.346771
3,uniform-random,4096,123456,2,drake,2,0.337202
3,uniform-random,16384,123456,1,parallel,1,1.146753
3,uniform-random,16384,123456,1,parallel,2,1.115463
3,uniform-random,16384,123456,1,drake,1,1.249004
3,uniform-random,16384,123456,1,drake,2,1.220857
3,uniform-random,16384,123456,2,parallel,1,1.094721
3,uniform-random,16384,123456,2,parallel,2,1.309278
3,uniform-random,16384,123456,2,drake,1,1.270236
3,uniform-random,16384,123456,2,drake,2,1.254312
3,increasing,1024,123456,1,parallel,1,0.149604
3,increasing,1024,123456,1,parallel,2,0.170418
3,increasing,1024,123456,1,drake,2,0.095546
3,increasing,4096,123456,1,parallel,1,0.199611
3,increasing,4096,123456,1,parallel,2,0.195490
3,increasing,4096,123456,1,drake,1,0.210507
3,increasing,4096,123456,1,drake,2,0.187319
3,increasing,16384,123456,1,parallel,1,0.526896
3,increasing,16384,123456,1,parallel,2,0.524871
3,increasing,16384,123456,1,drake,1,24.304621
3,increasing,16384,123456,1,drake,2,0.951961
3,decreasing,1024,123456,1,parallel,1,0.503918
3,decreasing,1024,123456,1,parallel,2,0.206456
3,decreasing,1024,123456,1,drake,2,0.095196
3,decreasing,4096,123456,1,parallel,1,1.269118
3,decreasing,4096,123456,1,parallel,2,1.002528
3,decreasing,4096,123456,1,drake,1,17.422774
3,decreasing,4096,123456,1,drake,2,0.187529
3,decreasing,16384,123456,1,parallel,1,12.236716
3,decreasing,16384,123456,1,parallel,2,11.933108
3,decreasing,16384,123456,1,drake,1,0.634315
3,decreasing,16384,123456,1,drake,2,0.594504
3,constant,1024,123456,1,parallel,1,0.154004
3,constant,1024,123456,1,parallel,2,0.141293
3,constant,1024,123456,1,drake,1,0.071868
3,constant,1024,123456,1,drake,2,0.076548
3,constant,4096,123456,1,parallel,1,0.246406
3,constant,4096,123456,1,parallel,2,0.248851
3,constant,4096,123456,1,drake,1,0.178658
3,constant,4096,123456,1,drake,2,30.166480
3,constant,16384,123456,1,parallel,1,0.606098
3,constant,16384,123456,1,parallel,2,0.842307
3,constant,16384,123456,1,drake,1,0.163782
3,constant,16384,123456,1,drake,2,26.365899
4,uniform-random,1024,123456,1,parallel,1,0.453770
4,uniform-random,1024,123456,1,parallel,2,0.172163
4,uniform-random,1024,123456,1,drake,1,0.123133
4,uniform-random,1024,123456,1,drake,2,0.121876
4,uniform-random,1024,123456,2,parallel,1,0.156449
4,uniform-random,1024,123456,2,parallel,2,0.503988
4,uniform-random,1024,123456,2,drake,1,0.118872
4,uniform-random,1024,123456,2,drake,2,0.114473
4,uniform-random,4096,123456,1,parallel,1,0.536883
4,uniform-random,4096,123456,1,parallel,2,0.645070
4,uniform-random,4096,123456,1,drake,1,11.030386
4,uniform-random,4096,123456,1,drake,2,7.094310
4,uniform-random,4096,123456,2,parallel,1,0.341602
4,uniform-random,4096,123456,2,parallel,2,0.345723
4,uniform-random,4096,123456,2,drake,1,0.295576
4,uniform-random,4096,123456,2,drake,2,0.316250
4,uniform-random,16384,123456,1,parallel,1,0.912570
4,uniform-random,16384,123456,1,parallel,2,1.113648
4,uniform-random,16384,123456,1,drake,1,0.926957
4,uniform-random,16384,123456,1,drake,2,0.935758
4,uniform-random,16384,123456,2,parallel,1,1.151782
4,uniform-random,16384,123456,2,parallel,2,1.299081
4,uniform-random,16384,123456,2,drake,1,1.471454
4,uniform-random,16384,123456,2,drake,2,0.974660
4,increasing,1024,123456,1,parallel,1,0.121597
4,increasing,1024,123456,1,parallel,2,0.474654
4,increasing,1024,123456,1,drake,1,0.100574
4,increasing,1024,123456,1,drake,2,0.103508
4,increasing,4096,123456,1,parallel,1,0.220425
4,increasing,4096,123456,1,parallel,2,0.214069
4,increasing,4096,123456,1,drake,1,0.166226
4,increasing,4096,123456,1,drake,2,0.167344
4,increasing,16384,123456,1,parallel,1,0.620765
4,increasing,16384,123456,1,parallel,2,0.762198
4,increasing,16384,123456,1,drake,1,0.457612
4,increasing,16384,123456,1,drake,2,0.484082
4,decreasing,1024,123456,1,parallel,1,0.253740
4,decreasing,1024,123456,1,parallel,2,0.279372
4,decreasing,1024,123456,1,drake,1,0.097082
4,decreasing,1024,123456,1,drake,2,0.098898
4,decreasing,4096,123456,1,parallel,1,1.061754
4,decreasing,4096,123456,1,parallel,2,0.968793
4,decreasing,4096,123456,1,drake,1,0.163294
4,decreasing,4096,123456,1,drake,2,0.164341
4,decreasing,16384,123456,1,parallel,1,12.020342
4,decreasing,16384,123456,1,parallel,2,12.008887
4,decreasing,16384,123456,1,drake,1,0.438335
4,decreasing,16384,123456,1,drake,2,0.454818
4,constant,1024,123456,1,parallel,1,0.154423
4,constant,1024,123456,1,parallel,2,0.145064
4,constant,1024,123456,1,drake,1,0.082275
4,constant,1024,123456,1,drake,2,0.078433
4,constant,4096,123456,1,parallel,1,0.254648
4,constant,4096,123456,1,parallel,2,0.248781
4,constant,4096,123456,1,drake,1,0.087793
4,constant,4096,123456,1,drake,2,0.095895
4,constant,16384,123456,1,parallel,1,0.619438
4,constant,16384,123456,1,parallel,2,0.629356
4,constant,16384,123456,1,drake,1,0.143876
4,constant,16384,123456,1,drake,2,0.149045
